timestamp,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,water_temp,setpoint_temp,mode,heater_on
2025-10-03T17:17:00.781596,100,63,43,73,73,74,54,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:17:01.784949,100,63,43,73,73,74,55,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:17:02.784595,100,63,43,73,73,74,56,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:17:03.782918,100,63,43,73,73,74,57,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:17:04.783412,100,63,43,73,73,74,58,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:17:05.783648,100,63,43,73,73,74,59,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:17:06.784010,100,63,43,73,73,74,0,10,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:17:07.785810,100,63,43,73,73,74,1,10,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:17:08.784982,100,63,43,73,73,74,2,10,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:17:09.784703,100,63,43,73,73,74,3,10,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:17:10.787364,100,63,43,73,73,74,4,10,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:17:11.786986,100,63,43,73,73,74,5,10,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:17:12.786408,100,63,43,73,73,74,6,10,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:17:13.787151,100,63,43,73,73,74,7,10,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:17:14.786275,100,63,43,73,73,74,8,10,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:17:15.790781,100,63,43,73,73,74,9,10,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
